country,population,death_rate,dr_per_day,death_rate_pop
Afghanistan,37172386.0,6.575,1.8013698630136986e-05,669.6121587671232
Albania,2866376.0,7.713999999999999,2.1134246575342458e-05,60.57869716164382
Algeria,42228429.0,4.717,1.2923287671232875e-05,545.7301358712328
American Samoa,55465.0,4.2,1.1506849315068494e-05,0.6382273972602739
Andorra,77006.0,4.3,1.1780821917808217e-05,0.9071939726027396
Angola,30809762.0,8.432,2.3101369863013695e-05,711.7477073534246
Antigua and Barbuda,96286.0,6.316,1.7304109589041095e-05,1.6661434958904109
Argentina,44494502.0,7.6160000000000005,2.0865753424657533e-05,928.4113074849313
Armenia,2951776.0,9.862,2.7019178082191778e-05,79.75456140273971
Aruba,105845.0,8.907,2.44027397260274e-05,2.5829079863013704
Australia,24992369.0,6.5,1.780821917808219e-05,445.0695849315068
Austria,8847037.0,9.5,2.602739726027397e-05,230.26534657534248
Azerbaijan,9942334.0,5.8,1.589041095890411e-05,157.98777315068492
Bahamas,385640.0,6.72,1.8410958904109587e-05,7.100002191780821
Bahrain,1569439.0,2.3680000000000003,6.4876712328767125e-06,10.182004252054798
Bangladesh,161356039.0,5.5329999999999995,1.515890410958904e-05,2445.9807227041097
Barbados,286641.0,8.936,2.448219178082192e-05,7.017599934246575
Belarus,9485386.0,12.6,3.452054794520548e-05,327.4407221917808
Belgium,11422068.0,9.6,2.6301369863013695e-05,300.4160350684932
Belize,383071.0,4.681,1.2824657534246575e-05,4.91275438630137
Benin,11485048.0,9.025,2.4726027397260282e-05,283.9796115068493
Bermuda,63968.0,7.8,2.136986301369863e-05,1.3669873972602742
Bhutan,754394.0,6.242999999999999,1.7104109589041093e-05,12.903237649315065
Bolivia,11353142.0,6.795,1.8616438356164385e-05,211.35506819178082
Bosnia and Herzegovina,3323929.0,10.562999999999999,2.8939726027397258e-05,96.19359459452058
Botswana,2254126.0,5.834,1.5983561643835615e-05,36.028961873972605
Brazil,209469333.0,6.377999999999999,1.7473972602739723e-05,3660.261385956164
Brunei,428962.0,4.345,1.1904109589041096e-05,5.106410657534246
Bulgaria,7024216.0,15.5,4.2465753424657536e-05,298.2886246575343
Burkina Faso,19751535.0,8.341000000000001,2.2852054794520552e-05,451.3631600958905
Burundi,11175378.0,8.106,2.2208219178082196e-05,248.1852440219178
Cabo Verde,543767.0,5.682,1.5567123287671235e-05,8.464887928767125
Cambodia,16249798.0,6.017,1.6484931506849317e-05,267.876807030137
Cameroon,25216237.0,9.501,2.603013698630137e-05,656.3821033890409
Canada,37058856.0,7.5,2.0547945205479453e-05,761.4833424657535
Cayman Islands,64174.0,3.4223243286065097,9.376231037278108e-06,0.6017102505862854
Central African Republic,4666377.0,12.671,3.4715068493150674e-05,161.993597169863
Chad,15477751.0,12.309000000000001,3.3723287671232866e-05,521.9606494767122
Chile,18729160.0,6.0760000000000005,1.6646575342465753e-05,311.7763730410959
China,1392730000.0,7.11,1.9479452054794518e-05,27129.617260273968
Colombia,49648685.0,5.502999999999999,1.5076712328767121e-05,748.5389412465753
Comoros,832322.0,7.297999999999999,1.9994520547945205e-05,16.64187933150685
Congo (Brazzaville),5244363.0,6.827999999999999,1.870684931506849e-05,98.10550839452051
Congo (Kinshasa),84068091.0,9.691,2.655068493150685e-05,2232.0653969342466
Costa Rica,4999441.0,5.005,1.3712328767123287e-05,68.55397864383562
Cote d'Ivoire,25069229.0,10.262,2.811506849315069e-05,704.8230904054794
Croatia,4089400.0,13.0,3.561643835616438e-05,145.64986301369862
Cuba,11338138.0,8.827,2.418356164383561e-05,274.19655924931504
Curacao,159849.0,8.9,2.4383561643835613e-05,3.89768794520548
Cyprus,1189265.0,6.952000000000001,1.9046575342465758e-05,22.651425424657536
Czechia,10625695.0,10.5,2.8767123287671234e-05,305.6706780821918
Denmark,5797446.0,8.2,2.2465753424657528e-05,130.2439923287671
